cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
MGPC,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23048,0.9742165284516153,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23048,0.9894601106643677,1743,2273,False,raw.X
MGPC,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.6677519143114853,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.669952242832197,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.6890469193458557,1515,1743,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.7214724945566459,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.709064170760816,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.7570070028305054,1515,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.9752378489105507,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9152121790846808,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.9744399785995483,1743,2273,False,raw.X
MGPC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.6431958602906043,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7310559576951398,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.6612051725387573,1515,1743,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.7158115007011716,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.767849945776378,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.7467051148414612,1515,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.974618494318567,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.932505739827482,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.973645031452179,1743,2273,False,raw.X
MGPC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.6540569168831182,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8085311722838106,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.6730120778083801,1515,1743,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7294938762551489,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8339051239809002,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.757092297077179,1515,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9755797339400049,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9470861273623963,1743,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9751147031784058,1743,2273,False,raw.X
PR precursors,Control_vs_LD,Control,LD,pearson,shared_expressed,22166,0.8892773193297514,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,spearman,shared_expressed,22166,0.8635741947977403,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,cosine,shared_expressed,22166,0.9035215377807617,1175,1619,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,22166,0.9003562862592064,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,22166,0.8822703504897668,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,22166,0.9108352065086365,1175,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,22166,0.9886796429913695,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,22166,0.9683638519207964,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,22166,0.9897083044052124,1619,2140,False,raw.X
PR precursors,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.5696811409163416,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.7558058819550793,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.5926472544670105,1175,1619,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.6511620877474414,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.7832572956732489,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.6755462288856506,1175,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.9740810499193948,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9366919324678485,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.9748632311820984,1619,2140,False,raw.X
PR precursors,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.5996482926029645,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7974769041872871,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.6263258457183838,1175,1619,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.6706383515266636,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.824674513812527,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.6990050077438354,1175,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9710042703572115,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9422196881081447,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9722470045089722,1619,2140,False,raw.X
